,External Cost [$/kWh]
515,81.0
516,80.0
517,79.0
518,79.0
519,79.0
520,84.0
521,87.0
522,80.0
523,74.0
524,68.0
525,67.0
526,61.0
527,59.906188999885174
528,59.906188999885174
529,59.906188999885174
530,59.906188999885174
531,59.906188999885174
532,59.906188999885174
533,59.906188999885174
534,59.906188999885174
535,59.906188999885174
536,59.906188999885174
537,59.906188999885174
538,59.906188999885174
539,59.906188999885174
540,59.906188999885174
541,59.906188999885174
542,59.906188999885174
543,59.906188999885174
544,59.906188999885174
545,59.906188999885174
546,59.906188999885174
547,59.906188999885174
548,59.906188999885174
549,59.906188999885174
550,59.906188999885174
551,59.0
552,58.0
553,56.0
554,55.0
555,54.0
556,53.0
557,53.0
558,55.0
559,59.0
560,62.0
561,65.0
562,66.0
563,63.0
564,62.0
565,60.0
566,60.0
567,63.0
568,71.0
569,72.0
570,64.0
571,58.0
572,56.0
573,57.0
574,53.0
575,52.0
576,50.0
577,51.0
578,51.0
579,50.0
580,50.0
581,47.0
582,48.0
583,51.0
584,55.0
585,57.0
586,59.0
587,59.0
588,58.0
589,56.0
590,58.0
591,58.0
592,66.0
593,70.0
594,68.0
595,60.0
596,59.0
597,61.0
598,58.0
599,56.0
600,55.0
601,55.0
602,55.0
603,54.0
604,56.0
605,62.0
606,71.0
607,75.0
608,75.0
609,72.0
610,71.0
611,68.0
612,69.0
613,67.0
614,67.0
615,68.0
616,72.0
617,71.0
618,67.0
619,60.0
620,56.0
621,56.0
622,50.0
623,48.0
624,48.0
625,47.0
626,47.0
627,47.0
628,49.0
629,57.0
630,64.0
631,68.0
632,65.0
633,65.0
634,65.0
635,64.0
636,64.0
637,66.0
638,68.0
639,71.0
640,78.0
641,80.0
642,77.0
643,67.0
644,63.0
645,62.0
646,58.0
647,56.0
648,55.0
649,54.0
650,53.0
651,53.0
652,55.0
653,62.0
654,68.0
655,70.0
656,67.0
657,64.0
658,62.0
659,59.0
660,57.0
661,56.0
662,55.0
663,54.0
664,56.0
665,56.0
666,53.0
667,51.0
668,47.0
669,45.0
670,37.0
671,39.0
672,39.0
673,37.0
674,37.0
675,39.0
676,41.0
677,53.0
678,59.0
679,59.0
680,55.0
681,56.0
682,56.0
683,55.0
684,55.0
685,57.0
686,58.0
687,63.0
688,70.0
689,73.0
690,70.0
691,67.0
692,61.0
693,59.0
694,55.0
695,55.0
696,54.0
697,54.0
698,54.0
699,53.0
700,56.0
701,61.0
702,70.0
703,76.0
704,74.0
705,73.0
706,74.0
707,73.0
708,72.0
709,72.0
710,71.0
711,72.0
712,76.0
713,77.0
714,74.0
715,67.0
716,61.0
717,59.0
718,55.0
719,56.0
720,56.0
721,55.0
722,53.0
723,53.0
724,52.0
725,54.0
726,57.0
727,58.0
728,61.0
729,61.0
730,62.0
731,61.0
732,59.0
733,58.0
734,59.0
735,60.0
736,66.0
737,68.0
738,63.0
739,59.0
740,56.0
741,57.0
742,55.0
743,55.0
744,53.0
745,52.0
746,52.0
747,52.0
748,52.0
749,49.0
750,50.0
751,52.0
752,55.0
753,55.0
754,58.0
755,55.0
756,54.0
757,52.0
758,52.0
759,53.0
760,59.0
761,60.0
762,58.0
763,54.0
764,51.0
765,51.0
766,47.0
767,45.0
768,44.0
769,46.0
770,45.0
771,46.0
772,48.0
773,56.0
774,66.0
775,68.0
776,67.0
777,66.0
778,66.0
779,64.0
780,64.0
781,63.0
782,65.0
783,64.0
784,71.0
785,72.0
786,67.0
787,63.0
788,61.0
789,60.0
790,56.0
791,59.0
792,57.0
793,56.0
794,56.0
795,57.0
796,61.0
797,69.0
798,83.0
799,84.0
800,84.0
801,84.0
802,82.0
803,80.0
804,80.0
805,78.0
806,80.0
807,81.0
808,92.0
809,95.0
810,88.0
811,78.0
812,72.0
813,69.0
814,65.0
815,61.0
816,59.0
817,58.0
818,59.0
819,59.0
820,62.0
821,70.0
822,87.0
823,90.0
824,89.0
825,86.0
826,85.0
827,80.0
828,80.0
829,79.0
830,80.0
831,83.0
832,91.0
833,97.0
834,88.0
835,78.0
836,72.0
837,70.0
838,61.0
839,63.0
840,60.0
841,59.0
842,59.0
843,60.0
844,62.0
845,73.0
846,84.0
847,91.0
848,91.0
849,87.0
850,85.0
851,79.0
852,79.0
853,76.0
854,73.0
855,73.0
856,79.0
857,82.0
858,74.0
859,70.0
860,62.0
861,60.0
862,56.0
863,57.0
864,57.0
865,55.0
866,55.0
867,55.0
868,57.0
869,65.0
870,76.0
871,78.0
872,77.0
873,74.0
874,73.0
875,71.0
876,68.0
877,66.0
878,68.0
879,72.0
880,78.0
881,80.0
882,77.0
883,71.0
884,65.0
885,64.0
886,61.0
887,94.0
888,93.0
889,91.0
890,87.0
891,87.0
892,86.0
893,87.0
894,93.0
895,95.0
896,94.0
897,95.0
898,93.0
899,88.0
900,83.0
901,79.0
902,78.0
903,78.0
904,88.0
905,88.0
906,82.0
907,69.0
908,60.0
909,60.0
910,53.0
911,57.0
912,52.0
913,43.0
914,40.0
915,44.0
916,43.0
917,46.0
918,50.0
919,49.0
920,57.0
921,64.0
922,68.0
923,66.0
924,60.0
925,62.0
926,69.0
927,68.0
928,87.0
929,100.0
930,99.0
931,98.0
932,92.0
933,92.0
934,85.0
935,72.0
936,70.0
937,68.0
938,67.0
939,72.0
940,75.0
941,87.0
942,108.0
943,113.0
944,112.0
945,113.0
946,113.0
947,109.0
948,108.0
949,106.0
950,107.0
951,108.0
952,120.0
953,124.0
954,117.0
955,108.0
956,98.0
957,94.0
958,87.0
959,54.0
960,54.0
961,53.0
962,54.0
963,54.0
964,55.0
965,63.0
966,74.0
967,75.0
968,75.0
969,76.0
970,76.0
971,76.0
972,75.0
973,74.0
974,74.0
975,77.0
976,84.0
977,90.0
978,85.0
979,73.0
980,69.0
981,66.0
982,61.0
983,60.0
984,59.0
985,58.0
986,58.0
987,59.0
988,62.0
989,73.0
990,88.0
991,87.0
992,84.0
993,82.0
994,82.0
995,79.0
996,77.0
