load,price,solar
57.37,7.0,55.0
56.0,10.0,16.0
58.31,17.0,1.0
57.76,17.0,0.0
58.0,15.0,0.0
51.72,11.0,0.0
48.19,9.0,0.0
46.45,9.0,0.0
54.53,2.0,0.0
54.0,-7.0,0.0
50.87,-12.0,0.0
49.26,-16.0,0.0
48.02,-16.0,0.0
47.9,-20.0,0.0
49.52,-21.0,0.0
52.13,-23.0,0.0
53.69,-6.0,0.0
57.63,-7.0,6.0
55.93,4.0,21.0
59.84,7.0,42.0
62.79,10.0,60.0
62.74,8.0,67.0
63.68,3.0,67.0
60.93,2.0,56.0
59.93,1.0,31.0
60.08,4.0,7.0
59.5,14.0,0.0
61.62,15.0,0.0
58.88,14.0,0.0
59.21,10.0,0.0
54.76,8.0,0.0
53.97,6.0,0.0
53.12,1.0,0.0
66.9,-8.0,0.0
64.15,-16.0,0.0
60.87,-16.0,0.0
60.16,-16.0,0.0
59.64,-16.0,0.0
62.89,2.0,0.0
67.69,18.0,0.0
73.28,25.0,1.0
73.98,31.0,8.0
75.19,30.0,30.0
81.63,30.0,57.0
79.9,31.0,82.0
78.14,30.0,96.0
76.16,30.0,93.0
77.49,30.0,74.0
75.12,31.0,44.0
75.79,31.0,17.0
77.41,35.0,3.0
77.98,34.0,0.0
72.97,34.0,0.0
71.48,29.0,0.0
70.28,24.0,0.0
68.34,19.0,0.0
69.2,11.0,0.0
70.43,16.0,0.0
66.96,13.0,0.0
65.03,12.0,0.0
62.21,12.0,0.0
62.99,12.0,0.0
68.87,15.0,0.0
76.39,25.0,0.0
85.37,38.0,0.0
88.75,36.0,11.0
88.35,33.0,43.0
88.6,29.0,87.0
86.76,29.0,126.0
83.16,29.0,148.0
81.28,30.0,141.0
80.96,30.0,106.0
79.14,32.0,58.0
78.76,35.0,17.0
78.35,42.0,1.0
77.04,42.0,0.0
71.79,38.0,0.0
72.05,34.0,0.0
70.82,30.0,0.0
69.88,29.0,0.0
71.15,25.0,0.0
71.24,20.0,0.0
68.5,18.0,0.0
67.6,16.0,0.0
66.42,15.0,0.0
65.85,15.0,0.0
68.16,18.0,0.0
77.41,27.0,0.0
86.67,37.0,0.0
82.61,39.0,8.0
84.52,34.0,32.0
84.69,32.0,70.0
83.23,32.0,103.0
83.04,32.0,120.0
80.82,31.0,110.0
81.09,32.0,79.0
79.87,35.0,42.0
81.47,38.0,12.0
88.51,46.0,1.0
85.39,45.0,0.0
78.91,40.0,0.0
81.1,34.0,0.0
78.31,31.0,0.0
74.91,30.0,0.0
71.39,23.0,0.0
62.26,22.0,0.0
61.0,21.0,0.0
62.34,18.0,0.0
62.01,17.0,0.0
66.15,16.0,0.0
74.05,17.0,0.0
84.81,27.0,0.0
88.5,33.0,1.0
90.16,33.0,9.0
90.86,31.0,32.0
92.08,29.0,63.0
93.14,29.0,90.0
89.99,28.0,102.0
90.9,27.0,97.0
88.8,27.0,76.0
87.48,28.0,44.0
90.48,28.0,14.0
91.89,33.0,1.0
89.91,32.0,0.0
88.98,30.0,0.0
85.68,26.0,0.0
84.26,24.0,0.0
82.93,21.0,0.0
76.76,13.0,0.0
69.88,13.0,0.0
67.65,12.0,0.0
67.34,12.0,0.0
66.38,13.0,0.0
67.42,13.0,0.0
74.12,16.0,0.0
79.75,26.0,0.0
85.96,37.0,2.0
87.37,40.0,12.0
89.28,41.0,39.0
89.76,41.0,81.0
92.89,41.0,119.0
90.02,41.0,138.0
89.11,42.0,130.0
82.41,43.0,96.0
81.97,44.0,50.0
84.78,47.0,13.0
88.64,53.0,1.0
85.47,53.0,0.0
80.87,50.0,0.0
77.14,46.0,0.0
74.49,40.0,0.0
76.36,37.0,0.0
69.0,33.0,0.0
66.26,29.0,0.0
63.42,27.0,0.0
62.3,27.0,0.0
60.71,25.0,0.0
59.24,25.0,0.0
62.24,24.0,0.0
64.47,25.0,0.0
70.91,29.0,1.0
75.75,34.0,9.0
79.04,38.0,30.0
80.04,39.0,58.0
79.5,39.0,81.0
75.69,35.0,88.0
76.22,33.0,77.0
70.11,33.0,55.0
72.09,34.0,30.0
73.18,36.0,8.0
73.41,42.0,0.0
76.12,44.0,0.0
72.8,39.0,0.0
72.94,32.0,0.0
70.66,29.0,0.0
70.98,29.0,0.0
67.91,22.0,0.0
65.36,22.0,0.0
61.75,19.0,0.0
60.69,18.0,0.0
59.18,19.0,0.0
59.16,19.0,0.0
61.11,18.0,0.0
63.1,17.0,0.0
67.79,18.0,0.0
71.25,20.0,7.0
74.35,25.0,28.0
77.95,28.0,57.0
78.88,30.0,82.0
77.46,31.0,95.0
75.04,31.0,94.0
73.09,28.0,76.0
69.94,31.0,45.0
70.87,27.0,14.0
75.34,35.0,1.0
74.21,38.0,0.0
74.22,36.0,0.0
71.62,37.0,0.0
68.83,34.0,0.0
69.1,34.0,0.0
70.94,32.0,0.0
61.31,25.0,0.0
58.24,23.0,0.0
54.72,24.0,0.0
53.04,24.0,0.0
55.8,24.0,0.0
57.38,26.0,0.0
64.36,34.0,0.0
80.4,48.0,0.0
84.42,51.0,5.0
80.18,52.0,23.0
76.72,50.0,48.0
79.65,50.0,72.0
74.5,50.0,85.0
76.94,50.0,84.0
76.53,49.0,70.0
78.32,49.0,41.0
81.13,51.0,12.0
83.12,55.0,1.0
83.09,56.0,0.0
80.16,51.0,0.0
67.5,47.0,0.0
58.34,41.0,0.0
54.94,38.0,0.0
50.21,32.0,0.0
66.56,32.0,0.0
64.18,31.0,0.0
62.34,30.0,0.0
60.95,31.0,0.0
63.42,29.0,0.0
69.38,31.0,0.0
77.32,44.0,0.0
82.26,53.0,0.0
85.55,56.0,3.0
85.24,56.0,15.0
85.45,55.0,33.0
83.38,54.0,51.0
82.62,52.0,64.0
81.41,51.0,69.0
81.48,50.0,60.0
82.02,50.0,37.0
82.79,51.0,11.0
84.83,56.0,1.0
85.72,60.0,0.0
81.63,55.0,0.0
78.44,48.0,0.0
75.05,43.0,0.0
74.43,39.0,0.0
69.48,33.0,0.0
45.53,24.504117108874656,0.0
43.57,23.071363220494053,0.0
40.22,22.11263736263736,0.0
37.67,22.04678899082569,0.0
39.7,23.422935779816513,0.0
46.02,27.67612076852699,0.0
63.1,33.47301006404392,0.0
79.76,38.02287282708143,0.0
86.13,37.998170173833486,11.0
84.47,36.335773101555354,39.0
80.58,35.13357731015554,76.0
79.48,33.33943275388838,107.0
77.26,31.403476669716376,126.0
76.2,30.19121683440073,123.0
77.06,30.324794144556268,96.0
78.46,31.82433668801464,55.0
79.34,35.53430924062214,17.0
80.88,40.720951509606586,2.0
84.75,43.064043915827995,0.0
80.48,41.09423604757548,0.0
68.41,36.80969807868252,0.0
57.25,33.369624885635865,0.0
58.67,29.806953339432752,0.0
54.48,26.429094236047575,0.0
48.84,31.0,0.0
47.97,30.0,0.0
47.13,29.0,0.0
46.4,29.0,0.0
45.89,30.0,0.0
50.86,33.0,0.0
63.71,39.0,0.0
80.68,50.0,1.0
78.62,54.0,9.0
76.72,55.0,32.0
77.39,55.0,62.0
76.58,55.0,90.0
79.19,53.0,110.0
78.48,52.0,112.0
76.85,51.0,89.0
77.0,51.0,50.0
77.8,51.0,14.0
82.29,56.0,1.0
77.84,59.0,0.0
79.05,52.0,0.0
75.89,46.0,0.0
68.72,40.0,0.0
65.74,39.0,0.0
64.75,33.0,0.0
61.04,24.504117108874656,0.0
58.42,23.071363220494053,0.0
57.82,22.11263736263736,0.0
56.02,22.04678899082569,0.0
57.8,23.422935779816513,0.0
60.64,27.67612076852699,0.0
65.75,33.47301006404392,0.0
75.85,38.02287282708143,0.0
78.01,37.998170173833486,10.0
79.22,36.335773101555354,32.0
81.52,35.13357731015554,63.0
81.51,33.33943275388838,90.0
81.52,31.403476669716376,104.0
75.45,30.19121683440073,98.0
73.6,30.324794144556268,76.0
70.75,31.82433668801464,46.0
78.04,35.53430924062214,15.0
80.87,40.720951509606586,1.0
79.69,43.064043915827995,0.0
75.87,41.09423604757548,0.0
70.57,36.80969807868252,0.0
63.72,33.369624885635865,0.0
67.77,29.806953339432752,0.0
63.48,26.429094236047575,0.0
62.48,31.0,0.0
59.52,30.0,0.0
60.33,28.0,0.0
57.92,27.0,0.0
59.24,26.0,0.0
60.33,25.0,0.0
62.56,25.0,0.0
67.47,27.0,0.0
70.38,31.0,7.0
69.48,34.0,24.0
