month,day_type,hour,load,solar,wind,price
1,1,0,0.4756406275880825,0.0002689172633732583,0.04532624852987676,0.2689246240601504
1,1,1,0.5361610156104145,0.0005055794574995149,0.05693113486831982,0.25838997493734334
1,1,2,0.5115944615750742,0.00035252415626205327,0.05713629211108854,0.25504926170279607
1,1,3,0.5005303314725571,0.0015985324742368164,0.05734144935385726,0.2601819038642789
1,1,4,0.5036128190451571,0.007523151755527617,0.06123943696646294,0.2815720551378446
1,1,5,0.507844187177262,0.027941787666597134,0.0623678018016909,0.31165695488721806
1,1,6,0.5264652843171649,0.004923773826449282,0.06370132387968758,0.3359573308270677
1,1,7,0.5886679345384269,0.021233774626562528,0.0649322673362999,0.3324985588972431
1,1,8,0.6637862589781938,0.041031448553744014,0.06329100939415014,0.3116610275689223
1,1,9,0.7227689662742008,0.056007927275860576,0.0654451604432217,0.29054548872180447
1,1,10,0.7424220043452303,0.06000849350985062,0.06472711009353119,0.27481528822055135
1,1,11,0.7090767718918165,0.05990591488846626,0.06718899700675582,0.261071992481203
1,1,12,0.6430397328032069,0.05098157482802694,0.0654451604432217,0.25978239348370924
1,1,13,0.6493647305977666,0.03282515884299521,0.0639064811224563,0.2737826441102757
1,1,14,0.6618865029101554,0.009026918681823683,0.06462453147214682,0.29860858395989975
1,1,15,0.6791966452687661,0.0015386793207654006,0.0669838397639871,0.3232137218045113
1,1,16,0.7304233830019017,0.0,0.06318843077276579,0.3629763784461153
1,1,17,0.7390010073220619,0.0,0.06123943696646294,0.39540250626566414
1,1,18,0.7352322687724006,0.0,0.0587775500532383,0.40941961152882206
1,1,19,0.7106708436681294,0.0,0.05754660659662598,0.37800670426065164
1,1,20,0.6662091660152923,0.0,0.052622832770176695,0.3420356516290727
1,1,21,0.6375579312764268,0.0,0.048417109293417936,0.3145579573934837
1,1,22,0.58431860099173,0.0,0.046673272729883815,0.3062102322661645
1,1,23,0.5348162098840656,0.0,0.044826857544965334,0.2876303543430543
1,1,0,0.5265350377797062,0.0,0.040826291310975295,0.2689246240601504
1,1,1,0.5070133003440487,0.0,0.038569561640519376,0.25838997493734334
1,1,2,0.4910500152842146,0.0,0.038569561640519376,0.25504926170279607
1,1,3,0.4880660031881435,0.0,0.04205723476758762,0.2601819038642789
1,1,4,0.506190619800546,0.0,0.04564748651604022,0.2815720551378446
1,1,5,0.5428050329174796,0.0007180503496905203,0.0439036499525061,0.31165695488721806
1,1,6,0.5874882803925068,0.011488805595048324,0.04174949890343453,0.3359573308270677
1,1,7,0.6550270704981832,0.044929436166349694,0.03651798921283217,0.3324985588972431
1,1,8,0.7089362391805198,0.08165258262195059,0.03159421538638289,0.3116610275689223
1,1,9,0.7278855879088527,0.111400382823415,0.02985037882284877,0.29054548872180447
1,1,10,0.7364673153738682,0.1288387484587562,0.02646528431716489,0.27481528822055135
1,1,11,0.7367165814238322,0.12924906294429364,0.026157548453011808,0.261071992481203
1,1,12,0.7111929688509757,0.11242616903725859,0.02697817742408669,0.25978239348370924
1,1,13,0.7232141574910089,0.0726256639401269,0.02554207672470565,0.2737826441102757
1,1,14,0.7196792981981038,0.02195182497625305,0.02831169950208337,0.29860858395989975
1,1,15,0.748399260613297,0.0004103144855374401,0.03149163676499853,0.3232137218045113
1,1,16,0.8101003013759895,0.0,0.03344063057130137,0.3629763784461153
1,1,17,0.8099320724369192,0.0,0.02728591328823977,0.39540250626566414
1,1,18,0.7991172083843662,0.0,0.022259560840406128,0.40941961152882206
1,1,19,0.7689272943247351,0.0,0.016720315285650687,0.37800670426065164
1,1,20,0.7208887001442255,0.0,0.015284214586269645,0.3420356516290727
1,1,21,0.6807599434586639,0.0,0.014873900100732204,0.3145579573934837
1,1,22,0.6248022797072816,0.0,0.015079057343500925,0.3062102322661645
1,1,23,0.5582472185806812,0.0,0.015284214586269645,0.2876303543430543
1,0,0,0.5546261932458132,0.0,0.017438365635341208,0.2689246240601504
1,0,1,0.5364287458122277,0.0,0.019592516684412767,0.25838997493734334
1,0,2,0.5174168241248505,0.0,0.019592516684412767,0.25504926170279607
1,0,3,0.5125617779747287,0.0,0.020002831169950205,0.2601819038642789
1,0,4,0.5325522997101128,0.0,0.020413145655487647,0.2815720551378446
1,0,5,0.5616271841552958,0.00020515724276872006,0.019489938063028407,0.31165695488721806
1,0,6,0.6059883347591761,0.012822327673045005,0.019695095305797126,0.3359573308270677
1,0,7,0.6812871975725794,0.040518555446822216,0.018464151849184807,0.3324985588972431
1,0,8,0.7193582271131709,0.06688126114260275,0.017643522878109927,0.3116610275689223
1,0,9,0.7432405817438775,0.08616604196286243,0.020002831169950205,0.29054548872180447
1,0,10,0.7533353438743123,0.11242616903725859,0.019489938063028407,0.27481528822055135
1,0,11,0.7449351805691472,0.11365711249387092,0.019284780820259688,0.261071992481203
1,0,12,0.7177026081640272,0.10739981658942496,0.02102861738379381,0.25978239348370924
1,0,13,0.7271172740346838,0.07242050669735818,0.022464718083174847,0.2737826441102757
1,0,14,0.7269100652194874,0.023593082918402807,0.023593082918402807,0.29860858395989975
1,0,15,0.7580262642302192,0.0006154717283061602,0.014258428372426045,0.3232137218045113
1,0,16,0.830121596697789,0.0,0.010873333866742163,0.3629763784461153
1,0,17,0.8307288621363844,0.0,0.011796541459201403,0.39540250626566414
1,0,18,0.8109465750024105,0.0,0.010565598002589084,0.40941961152882206
1,0,19,0.7691950245265483,0.0,0.009026918681823683,0.37800670426065164
1,0,20,0.7167024666055297,0.0,0.013027484915813724,0.3420356516290727
1,0,21,0.670671336045512,0.0,0.017746101499494286,0.3145579573934837
